Source,Error,Survey End Date,CON (%),LAB (%),LD (%),UKIP (%),Grn (%),Con Lead
YouGov/Sun,,2010-11-15,40 ,42 ,10,,,-2
YouGov,,2010-11-16,40,42,10,,,
YouGov/Sun,,2010-11-16,37 ,42 ,10,,,-5
YouGov,,2010-11-17,37,42,10,,,
Opinium/,,2010-11-17,38 ,34 ,13,,,4
YouGov/Sun,,2010-11-17,40 ,40 ,11,,,0
Ipsos-Mori,,2010-11-17,36,39,14,,,
YouGov,,2010-11-18,40,40,11,,,
YouGov/Sun,,2010-11-18,40 ,40 ,11,,,0
ComRes/Independent on Sunday (O),,2010-11-19,37 ,38 ,13,,,-1
YouGov/Sunday Times,,2010-11-19,40 ,38 ,11,,,2
YouGov,,2010-11-19,40,40,11,,,
ICM/Guardian,,2010-11-21,36 ,38 ,14,,,-2
ICM,,2010-11-21,36,38,14,,,
ComRes,,2010-11-21,37,38,13,,,
YouGov,,2010-11-21,40,38,11,,,
YouGov/Sun,,2010-11-22,41 ,38 ,11,,,3
YouGov,,2010-11-23,41,38,11,,,
YouGov/Sun,,2010-11-23,42 ,40 ,10,,,2
YouGov/Sun,,2010-11-24,40 ,40 ,9,,,0
YouGov,,2010-11-24,42,40,10,,,
YouGov/Sun,,2010-11-25,42 ,39 ,10,,,3
YouGov,,2010-11-25,40,40,9,,,
Opinium/,,2010-11-26,37 ,35 ,14,,,2
YouGov/Sunday Times,,2010-11-26,40 ,40 ,9,,,0
YouGov,,2010-11-26,42,39,10,,,
YouGov,,2010-11-28,40,40,9,,,
YouGov/Sun,,2010-11-29,40 ,40 ,10,,,0
ComRes/Independent,,2010-11-29,36 ,40 ,12,,,-4
YouGov/Sun,,2010-11-30,40 ,40 ,10,,,0
Angus Reid/PoliticalBetting,,2010-11-30,35 ,40 ,13,,,-5
YouGov,,2010-11-30,40,40,10,,,
ComRes,,2010-11-30,36,40,12,,,
YouGov,,2010-12-01,40,40,10,,,
YouGov/Sun,,2010-12-01,41 ,38 ,11,,,3
Opinium/,,2010-12-02,38 ,34 ,13,,,4
YouGov/Sun,,2010-12-02,40 ,40 ,11,,,0
YouGov,,2010-12-02,41,38,11,,,
YouGov/Sunday Times,,2010-12-03,41 ,39 ,10,,,2
YouGov,,2010-12-03,40,40,11,,,
YouGov,,2010-12-06,41,39,10,,,
YouGov/Sun,,2010-12-06,42 ,39 ,10,,,3
YouGov,,2010-12-07,42,39,10,,,
YouGov/Sun,,2010-12-07,42 ,39 ,9,,,3
YouGov,,2010-12-08,42,39,9,,,
Opinium/,,2010-12-08,38 ,37 ,11,,,1
YouGov/Sun,,2010-12-08,41 ,41 ,8,,,0
YouGov,,2010-12-09,41,41,8,,,
YouGov/Sun,,2010-12-09,41 ,39 ,11,,,2
Opinium/,,2010-12-10,37 ,36 ,12,,,1
YouGov/Sunday Times,,2010-12-10,40 ,42 ,9,,,-2
YouGov,,2010-12-10,41,39,11,,,
Ipsos-MORI/Reuters,,2010-12-12,38 ,39 ,11,,,-1
YouGov,,2010-12-12,40,42,9,,,
YouGov/Sun,,2010-12-13,41 ,42 ,9,,,-1
YouGov/Sun,,2010-12-14,39 ,42 ,9,,,-3
YouGov,,2010-12-14,41,42,9,,,
YouGov/Sun,,2010-12-15,42 ,40 ,8,,,2
YouGov,,2010-12-15,39,42,9,,,
Ipsos-Mori,,2010-12-15,38,39,11,,,
YouGov/Sun,,2010-12-16,41 ,41 ,9,,,0
YouGov,,2010-12-16,42,40,8,,,
ComRes/Independent on Sunday (O),,2010-12-16,37 ,39 ,11,,,-2
Opinium/,,2010-12-17,37 ,37 ,12,,,0
YouGov,,2010-12-17,41,41,9,,,
YouGov/Sunday Times,,2010-12-19,39 ,42 ,9,,,-3
ComRes,,2010-12-19,37,39,11,,,
ICM/Guardian,,2010-12-19,37 ,39 ,13,,,-2
YouGov,,2010-12-19,39,42,9,,,
ICM,,2010-12-20,37,39,13,,,
YouGov/Sun,,2010-12-20,40 ,43 ,8,,,-3
Angus Reid/,,2010-12-20,35 ,41 ,9,,,-6
YouGov/Sun,,2010-12-21,40 ,42 ,9,,,-2
YouGov,,2010-12-21,40,43,8,,,
YouGov,,2010-12-22,40,42,9,,,
YouGov/Sun,,2010-12-22,41 ,42 ,8,,,-1
YouGov/Sun,,2010-12-23,39 ,41 ,9,,,-2
YouGov,,2010-12-23,41,42,8,,,
YouGov,,2010-12-24,39,41,9,,,
YouGov/Sun,,2011-01-04,40 ,42 ,8,,,-2
YouGov,,2011-01-05,40,42,8,,,
YouGov/Sun,,2011-01-05,40 ,41 ,10,,,-1
Opinium/,,2011-01-05,37 ,39 ,11,,,-2
YouGov/Sun,,2011-01-06,39 ,43 ,7,,,-4
Angus Reid/,,2011-01-06,35 ,40 ,12,,,-5
YouGov/Sunday Times,,2011-01-07,38 ,41 ,10,,,-3
YouGov,,2011-01-07,39,43,7,,,
YouGov,,2011-01-09,38,41,10,,,
ComRes/Independent,,2011-01-09,34 ,42 ,12,,,-8
YouGov/Sun,,2011-01-10,40 ,43 ,8,,,-3
ComRes,,2011-01-11,34,42,12,,,
YouGov,,2011-01-11,40,43,8,,,
YouGov/Sun,,2011-01-11,40 ,41 ,7,,,-1
YouGov,,2011-01-12,40,41,7,,,
YouGov/Sun,,2011-01-12,36 ,43 ,9,,,-7
ComRes/Independent on Sunday (O),,2011-01-13,36 ,40 ,10,,,-4
YouGov,,2011-01-13,36,43,9,,,
YouGov/Sun,,2011-01-13,41 ,41 ,8,,,0
YouGov/Sunday Times,,2011-01-14,37 ,43 ,9,,,-6
Opinium/,,2011-01-14,35 ,38 ,12,,,-3
YouGov,,2011-01-14,41,41,8,,,
YouGov,,2011-01-16,37,43,9,,,
ComRes,,2011-01-16,36,40,10,,,
YouGov/Sun,,2011-01-17,37 ,42 ,9,,,-5
YouGov,,2011-01-18,37,42,9,,,
YouGov/Sun,,2011-01-18,39 ,44 ,8,,,-5
YouGov,,2011-01-19,39,44,8,,,
YouGov/Sun,,2011-01-19,37 ,42 ,9,,,-5
YouGov,,2011-01-20,37,42,9,,,
YouGov/Sun,,2011-01-20,36 ,43 ,10,,,-7
YouGov,,2011-01-21,36,43,10,,,
YouGov/Sunday Times,,2011-01-21,39 ,43 ,9,,,-4
YouGov,,2011-01-23,39,43,9,,,
ICM/Guardian,,2011-01-23,35 ,39 ,15,,,-4
Ipsos-MORI/Reuters,,2011-01-24,33 ,43 ,13,,,-10
YouGov/Sun,,2011-01-24,37 ,42 ,11,,,-5
ICM,,2011-01-25,35,39,15,,,
YouGov,,2011-01-25,37,42,11,,,
Angus Reid/,,2011-01-25,33 ,41 ,12,,,-8
Opinium/,,2011-01-25,34 ,38 ,12,,,-4
YouGov/Sun,,2011-01-25,37 ,43 ,10,,,-6
YouGov/Sun,,2011-01-26,39 ,41 ,10,,,-2
YouGov,,2011-01-26,37,43,10,,,
Ipsos-Mori,,2011-01-27,33,43,13,,,
YouGov,,2011-01-27,39,41,10,,,
YouGov/Sun,,2011-01-27,38 ,44 ,8,,,-6
Angus Reid/Sunday Express,,2011-01-28,32 ,43 ,11,,,-11
YouGov,,2011-01-28,38,44,9,,,
YouGov/Sunday Times,,2011-01-28,39 ,43 ,8,,,-4
YouGov,,2011-01-29,39,43,8,,,
ComRes/Independent,,2011-01-30,34 ,43 ,10,,,-9
YouGov/Sun,,2011-01-31,40 ,42 ,8,,,-2
ComRes,,2011-01-31,34,43,10,,,
YouGov,,2011-02-01,40,42,8,,,
YouGov/Sun,,2011-02-01,39 ,44 ,8,,,-5
YouGov/Sun,,2011-02-02,36 ,44 ,9,,,-8
Opinium/,,2011-02-02,35 ,40 ,11,,,-5
YouGov,,2011-02-02,39,44,8,,,
YouGov,,2011-02-03,36,44,9,,,
YouGov/Sun,,2011-02-03,37 ,44 ,9,,,-7
YouGov,,2011-02-04,37,44,9,,,
YouGov/Sunday Times,,2011-02-04,36 ,42 ,10,,,-6
YouGov,,2011-02-06,36,42,10,,,
Populus/Times,,2011-02-06,36 ,39 ,11,,,-3
Populus,,2011-02-07,36,39,11,,,
YouGov/Sun,,2011-02-07,37 ,43 ,9,,,-6
Opinium/,,2011-02-08,36 ,38 ,11,,,-2
YouGov/Sun,,2011-02-08,35 ,43 ,10,,,-8
YouGov,,2011-02-08,37,43,9,,,
YouGov/Sun,,2011-02-09,36 ,43 ,10,,,-7
YouGov,,2011-02-09,36,43,10,,,
Angus Reid/,,2011-02-10,34 ,40 ,11,,,-5
ComRes/Independent on Sunday (O),,2011-02-10,36 ,42 ,11,,,-6
YouGov,,2011-02-10,36,43,10,,,
YouGov/Sun,,2011-02-10,35 ,44 ,10,,,-9
YouGov,,2011-02-11,35,44,10,,,
YouGov/Sunday Times,,2011-02-11,35 ,45 ,9,,,-10
Ipsos-MORI/Reuters,,2011-02-12,33 ,43 ,13,,,-10
Ipsos-Mori,,2011-02-12,33,43,13,,,
YouGov,,2011-02-13,36,46,8,,,
ComRes,,2011-02-13,36,42,11,,,
YouGov/Sun,,2011-02-14,36 ,44 ,10,,,-8
YouGov/Sun,,2011-02-15,37 ,44 ,10,,,-7
YouGov,,2011-02-15,38,44,10,,,
Opinium/,,2011-02-15,35 ,36 ,12,,,-1
YouGov/Sun,,2011-02-16,35 ,45 ,10,,,-10
YouGov,,2011-02-16,37,44,10,,,
YouGov/Sun,,2011-02-17,36 ,42 ,10,,,-6
YouGov,,2011-02-18,36,42,10,,,
YouGov/Sunday Times,,2011-02-18,37 ,41 ,10,,,-4
ICM,,2011-02-20,35,38,18,,,
YouGov,,2011-02-20,37,41,10,,,
ICM/Guardian,,2011-02-20,35 ,38 ,18,,,-3
YouGov,,2011-02-21,38,42,11,,,
YouGov/Sun,,2011-02-21,36 ,42 ,11,,,-6
YouGov/Sun,,2011-02-22,37 ,43 ,9,,,-6
YouGov/Sun,,2011-02-23,38 ,44 ,11,,,-6
YouGov,,2011-02-23,37,43,9,,,
Opinium/,,2011-02-24,36 ,38 ,11,,,-2
YouGov,,2011-02-24,38,44,11,,,
YouGov/Sun,,2011-02-24,38 ,42 ,10,,,-4
YouGov/Sunday Times,,2011-02-25,36 ,44 ,10,,,-8
ComRes/Independent,,2011-02-27,35 ,39 ,12,,,-4
YouGov,,2011-02-27,36,44,10,,,
YouGov/Sun,,2011-02-28,36 ,43 ,10,,,-7
ComRes,,2011-02-28,35,39,12,,,
YouGov/Sun,,2011-03-01,34 ,43 ,11,,,-9
YouGov,,2011-03-01,36,43,10,,,
YouGov/Sun,,2011-03-02,36 ,41 ,11,,,-5
YouGov,,2011-03-02,34,43,11,,,
YouGov,,2011-03-03,36,41,11,,,
YouGov/Sun,,2011-03-03,36 ,42 ,10,,,-6
YouGov/Sunday Times,,2011-03-04,35 ,43 ,10,,,-8
Angus Reid/,,2011-03-04,33 ,41 ,10,,,-8
YouGov,,2011-03-06,36,43,10,,,
Populus/Times,,2011-03-06,35 ,41 ,11,,,-6
Populus,,2011-03-07,35,41,11,,,
YouGov/Sun,,2011-03-07,36 ,42 ,9,,,-6
Opinium/,,2011-03-07,36 ,39 ,9,,,-3
YouGov,,2011-03-08,38,42,9,,,
YouGov/Sun,,2011-03-08,36 ,44 ,10,,,-8
YouGov,,2011-03-09,38,44,10,,,
YouGov/Sun,,2011-03-09,36 ,42 ,9,,,-6
YouGov,,2011-03-10,38,42,9,,,
YouGov/Sun,,2011-03-10,34 ,45 ,9,,,-11
ComRes/Independent on Sunday (O),,2011-03-10,37 ,40 ,11,,,-3
YouGov/Sunday Times,,2011-03-11,33 ,44 ,10,,,-11
YouGov,,2011-03-11,34,46,9,,,
YouGov,,2011-03-13,33,44,10,,,
Ipsos-MORI/Reuters,,2011-03-13,37 ,41 ,10,,,-4
ComRes,,2011-03-13,37,40,11,,,
YouGov/Sun,,2011-03-14,35 ,44 ,9,,,-9
YouGov/Sun,,2011-03-15,35 ,45 ,9,,,-10
YouGov,,2011-03-15,35,44,9,,,
YouGov/Sun,,2011-03-16,35 ,43 ,10,,,-8
YouGov,,2011-03-16,36,46,9,,,
YouGov/Sun,,2011-03-17,35 ,43 ,10,,,-8
YouGov,,2011-03-17,36,43,10,,,
Opinium/,,2011-03-17,35 ,39 ,11,,,-4
YouGov/Sunday Times,,2011-03-18,37 ,43 ,9,,,-6
YouGov,,2011-03-18,35,43,10,,,
YouGov,,2011-03-20,37,43,9,,,
YouGov/Sun,,2011-03-21,36 ,43 ,9,,,-7
Angus Reid/,,2011-03-21,32 ,41 ,10,,,-9
YouGov,,2011-03-21,36,43,9,,,
Opinium/,,2011-03-21,36 ,36 ,11,,,0
YouGov/Sun,,2011-03-22,35 ,42 ,9,,,-7
YouGov/Sun,,2011-03-23,36 ,42 ,10,,,-6
YouGov,,2011-03-23,36,42,9,,,
YouGov,,2011-03-24,36,42,10,,,
ICM,,2011-03-24,37,36,16,,,
YouGov/Sun,,2011-03-24,37 ,41 ,11,,,-4
ICM/Guardian,,2011-03-24,37 ,36 ,16,,,1
YouGov,,2011-03-25,37,41,11,,,
YouGov/Sunday Times,,2011-03-25,38 ,41 ,11,,,-3
Opinium/,,2011-03-25,36 ,36 ,11,,,0
YouGov,,2011-03-27,38,41,11,,,
ComRes,,2011-03-27,35,41,13,,,
ComRes/Independent,,2011-03-27,35 ,41 ,13,,,-6
Opinium/,,2011-03-28,34 ,37 ,11,,,-3
YouGov/Sun,,2011-03-28,38 ,44 ,9,,,-6
YouGov/Sun,,2011-03-29,36 ,42 ,10,,,-6
YouGov,,2011-03-29,36,44,9,,,
YouGov,,2011-03-30,36,42,10,,,
YouGov/Sun,,2011-03-30,35 ,45 ,9,,,-10
YouGov,,2011-03-31,35,45,9,,,
YouGov/Sun,,2011-03-31,35 ,42 ,10,,,-7
YouGov/Sunday Times,,2011-04-01,36 ,42 ,11,,,-6
YouGov,,2011-04-01,35,42,10,,,
YouGov,,2011-04-03,36,42,11,,,
YouGov/Sun,,2011-04-04,37 ,42 ,9,,,-5
YouGov/Sun,,2011-04-05,37 ,42 ,9,,,-5
YouGov,,2011-04-05,37,42,9,,,
YouGov/Sun,,2011-04-06,36 ,42 ,10,,,-6
YouGov,,2011-04-06,37,42,9,,,
YouGov,,2011-04-07,36,42,10,,,
YouGov/Sun,,2011-04-07,35 ,44 ,10,,,-9
YouGov/Sunday Times,,2011-04-08,36 ,43 ,9,,,-7
YouGov,,2011-04-08,35,44,10,,,
YouGov,,2011-04-10,36,43,9,,,
Angus Reid/,,2011-04-10,31 ,42 ,11,,,-11
Populus/Times,,2011-04-10,36 ,40 ,11,,,-4
Populus,,2011-04-11,36,40,11,,,
YouGov/Sun,,2011-04-11,36 ,42 ,10,,,-6
YouGov,,2011-04-12,36,42,10,,,
YouGov/Sun,,2011-04-12,37 ,42 ,9,,,-5
YouGov,,2011-04-13,37,42,9,,,
YouGov/Sun,,2011-04-13,35 ,44 ,10,,,-9
YouGov,,2011-04-14,36,42,10,,,
YouGov/Sun,,2011-04-14,36 ,42 ,10,,,-6
YouGov/Sunday Times,,2011-04-15,37 ,41 ,9,,,-4
ComRes/Independent on Sunday (O),,2011-04-15,35 ,39 ,10,,,-4
Ipsos-MORI/Reuters,,2011-04-17,40 ,40 ,9,,,0
ComRes,,2011-04-17,35,39,10,,,
YouGov,,2011-04-17,37,41,9,,,
ICM/Guardian,,2011-04-17,35 ,37 ,15,,,-2
YouGov/Sun,,2011-04-18,36 ,42 ,9,,,-6
YouGov,,2011-04-18,36,42,9,,,
YouGov/Sun,,2011-04-19,36 ,43 ,9,,,-7
YouGov,,2011-04-19,36,43,9,,,
ICM,,2011-04-19,35,37,15,,,
YouGov/Sun,,2011-04-20,36 ,43 ,9,,,-7
Ipsos-Mori,,2011-04-20,40,40,9,,,
YouGov,,2011-04-20,36,43,9,,,
YouGov/Sun,,2011-04-21,36 ,42 ,10,,,-6
YouGov,,2011-04-21,36,42,10,,,
YouGov,,2011-04-26,36,41,10,,,
YouGov/Sun,,2011-04-26,36 ,41 ,10,,,-5
YouGov,,2011-04-27,36,42,10,,,
YouGov/Sun,,2011-04-27,36 ,42 ,10,,,-6
YouGov,,2011-04-28,36,41,12,,,
YouGov/Sun,,2011-04-28,36 ,41 ,12,,,-5
YouGov/Sunday Times,,2011-04-29,36 ,41 ,10,,,-5
ComRes/Independent,,2011-05-01,34 ,37 ,15,,,-3
Opinium/,,2011-05-02,35 ,37 ,11,,,-2
YouGov,,2011-05-03,37,42,10,,,
ICM/Guardian,,2011-05-03,36 ,37 ,15,,,-1
YouGov/Sun,,2011-05-03,37 ,42 ,10,,,-5
ICM,,2011-05-04,36,37,15,,,
ComRes,,2011-05-04,34,37,15,,,
YouGov,,2011-05-04,36,40,11,,,
YouGov/Sun,,2011-05-04,36 ,40 ,11,,,-4
YouGov/Sun,,2011-05-05,37 ,39 ,10,,,-2
YouGov,,2011-05-05,37,39,10,,,
YouGov/Sunday Times,,2011-05-06,36 ,41 ,10,,,-5
Populus,,2011-05-08,37,39,11,,,
Populus/Times,,2011-05-08,37 ,39 ,11,,,-2
YouGov,,2011-05-08,36,41,10,,,
YouGov,,2011-05-09,38,42,8,,,
Opinium/,,2011-05-09,35 ,38 ,9,,,-3
YouGov/Sun,,2011-05-09,38 ,42 ,8,,,-4
YouGov/Sun,,2011-05-10,38 ,40 ,9,,,-2
YouGov,,2011-05-10,38,40,9,,,
YouGov/Sun,,2011-05-11,36 ,42 ,8,,,-6
YouGov,,2011-05-11,36,42,8,,,
YouGov,,2011-05-12,39,41,9,,,
YouGov/Sun,,2011-05-12,39 ,41 ,9,,,-2
YouGov/Sunday Times,,2011-05-13,36 ,41 ,9,,,-5
YouGov,,2011-05-15,36,41,9,,,
ComRes,,2011-05-15,38,39,11,,,
ComRes/Independent on Sunday (O),,2011-05-15,38 ,39 ,11,,,-1
YouGov/Sun,,2011-05-16,38 ,41 ,10,,,-3
YouGov/Sun,,2011-05-17,39 ,41 ,9,,,-2
YouGov,,2011-05-17,39,41,8,,,
YouGov/Sun,,2011-05-18,36 ,42 ,9,,,-6
YouGov,,2011-05-18,36,42,9,,,
YouGov,,2011-05-19,38,40,10,,,
YouGov/Sun,,2011-05-19,38 ,40 ,10,,,-2
YouGov/Sunday Times,,2011-05-20,37 ,42 ,8,,,-5
YouGov,,2011-05-22,37,42,8,,,
YouGov/Sun,,2011-05-23,38 ,42 ,10,,,-4
YouGov,,2011-05-23,38,42,10,,,
YouGov/Sun,,2011-05-24,38 ,42 ,9,,,-4
Ipsos-MORI/Reuters,,2011-05-24,35 ,42 ,10,,,-7
YouGov,,2011-05-24,38,42,9,,,
YouGov,,2011-05-25,37,41,10,,,
YouGov/Sun,,2011-05-25,37 ,41 ,10,,,-4
YouGov/Sun,,2011-05-26,37 ,43 ,8,,,-6
YouGov,,2011-05-26,37,43,8,,,
Ipsos-Mori,,2011-05-26,35,42,10,,,
YouGov/Sunday Times,,2011-05-27,37 ,43 ,9,,,-6
YouGov,,2011-05-29,37,43,9,,,
ComRes/Independent,,2011-05-29,37 ,37 ,12,,,0
YouGov/Sun,,2011-05-31,37 ,42 ,9,,,-5
YouGov,,2011-05-31,37,42,9,,,
YouGov,,2011-06-01,39,41,9,,,
YouGov/Sun,,2011-06-01,39 ,41 ,9,,,-2
ComRes,,2011-06-01,37,37,12,,,
YouGov,,2011-06-02,36,42,9,,,
YouGov/Sun,,2011-06-02,36 ,42 ,9,,,-6
YouGov/Sunday Times,,2011-06-03,37 ,42 ,9,,,-5
YouGov,,2011-06-05,37,42,9,,,
YouGov,,2011-06-06,37,43,9,,,
YouGov/Sun,,2011-06-06,37 ,43 ,9,,,-6
YouGov,,2011-06-07,36,44,8,,,
YouGov/Sun,,2011-06-07,36 ,44 ,8,,,-8
YouGov/Sun,,2011-06-08,37 ,42 ,9,,,-5
YouGov,,2011-06-08,37,42,9,,,
YouGov/Sun,,2011-06-09,37 ,43 ,8,,,-6
YouGov/Sunday Times,,2011-06-10,37 ,42 ,9,,,-5
YouGov,,2011-06-12,37,42,9,,,
Populus/Times,,2011-06-12,39 ,40 ,9,,,-1
YouGov/Sun,,2011-06-13,37 ,42 ,10,,,-5
Populus,,2011-06-13,39,40,9,,,
YouGov,,2011-06-13,37,42,10,,,
YouGov,,2011-06-14,37,42,10,,,
YouGov/Sun,,2011-06-14,37 ,42 ,10,,,-5
YouGov,,2011-06-15,36,42,9,,,
YouGov/Sun,,2011-06-15,36 ,42 ,9,,,-6
YouGov/Sun,,2011-06-16,37 ,43 ,9,,,-6
ComRes/Independent on Sunday (O),,2011-06-16,37 ,37 ,11,,,0
YouGov/Sunday Times,,2011-06-17,37 ,42 ,10,,,-5
YouGov,,2011-06-17,37,43,9,,,
ICM/Guardian,,2011-06-19,37 ,39 ,12,,,-2
Ipsos-MORI/Reuters,,2011-06-19,37 ,39 ,11,,,-2
ComRes,,2011-06-19,37,37,11,,,
YouGov,,2011-06-19,37,42,10,,,
Ipsos-Mori,,2011-06-19,37,39,11,,,
YouGov,,2011-06-20,37,43,9,,,
YouGov/Sun,,2011-06-20,37 ,43 ,9,,,-6
ICM,,2011-06-21,37,39,12,,,
YouGov,,2011-06-21,37,42,8,,,
YouGov/Sun,,2011-06-21,37 ,42 ,8,,,-5
YouGov,,2011-06-22,36,42,9,,,
YouGov/Sun,,2011-06-22,36 ,42 ,9,,,-6
YouGov,,2011-06-23,37,42,9,,,
YouGov/Sun,,2011-06-23,37 ,42 ,9,,,-5
YouGov/Sunday Times,,2011-06-24,36 ,43 ,9,,,-7
ComRes,,2011-06-26,36,40,11,,,
ComRes/Independent,,2011-06-26,36 ,40 ,11,,,-4
YouGov,,2011-06-26,36,43,9,,,
YouGov/Sun,,2011-06-27,37 ,42 ,10,,,-5
YouGov,,2011-06-27,37,42,10,,,
YouGov/Sun,,2011-06-28,36 ,43 ,8,,,-7
YouGov,,2011-06-28,36,43,8,,,
YouGov/Sun,,2011-06-29,37 ,41 ,10,,,-4
YouGov,,2011-06-29,37,41,10,,,
YouGov/Sun,,2011-06-30,37 ,42 ,8,,,-5
YouGov,,2011-06-30,37,42,8,,,
YouGov,,2011-07-01,36,42,9,,,
YouGov/Sunday Times,,2011-07-01,36 ,42 ,9,,,-6
YouGov,,2011-07-04,37,43,9,,,
YouGov/Sun,,2011-07-04,37 ,43 ,9,,,-6
YouGov/Sun,,2011-07-05,35 ,43 ,10,,,-8
YouGov,,2011-07-05,35,43,10,,,
YouGov/Sun,,2011-07-06,35 ,43 ,9,,,-8
YouGov,,2011-07-06,35,43,9,,,
YouGov,,2011-07-07,37,43,8,,,
YouGov/Sun,,2011-07-07,37 ,43 ,8,,,-6
YouGov/Sunday Times,,2011-07-08,35 ,44 ,8,,,-9
YouGov,,2011-07-10,35,44,8,,,
YouGov/Sun,,2011-07-11,35 ,43 ,10,,,-8
YouGov,,2011-07-11,35,43,10,,,
YouGov/Sun,,2011-07-12,37 ,42 ,9,,,-5
YouGov,,2011-07-12,37,42,9,,,
YouGov/Sun,,2011-07-13,35 ,43 ,10,,,-8
YouGov,,2011-07-13,35,43,10,,,
YouGov/Sun,,2011-07-14,36 ,43 ,9,,,-7
YouGov,,2011-07-14,36,43,9,,,
ComRes/Independent on Sunday (O),,2011-07-14,36 ,40 ,10,,,-4
YouGov/Sunday Times,,2011-07-15,36 ,42 ,11,,,-6
ICM/Guardian,,2011-07-17,37 ,36 ,16,,,1
YouGov,,2011-07-17,36,42,11,,,
ComRes,,2011-07-17,36,40,10,,,
Populus/Times,,2011-07-17,34 ,39 ,11,,,-5
YouGov/Sun,,2011-07-18,37 ,42 ,9,,,-5
Ipsos-Mori,,2011-07-18,32,39,11,,,
ICM,,2011-07-18,36,37,16,,,
Ipsos-MORI/Reuters,,2011-07-18,32 ,39 ,11,,,-7
YouGov,,2011-07-19,36,43,8,,,
YouGov/Sun,,2011-07-19,36 ,43 ,8,,,-7
YouGov/Sun,,2011-07-20,35 ,43 ,11,,,-8
Angus Reid/,,2011-07-20,34 ,41 ,10,,,-7
YouGov/Sun,,2011-07-21,36 ,44 ,9,,,-8
YouGov,,2011-07-21,36,44,9,,,
YouGov/Sunday Times,,2011-07-22,35 ,43 ,10,,,-8
ComRes/Independent,,2011-07-24,34 ,40 ,13,,,-6
YouGov,,2011-07-24,35,43,10,,,
ComRes,,2011-07-24,34,40,13,,,
YouGov/Sun,,2011-07-25,37 ,41 ,10,,,-4
YouGov,,2011-07-25,37,41,10,,,
YouGov,,2011-07-26,35,44,9,,,
YouGov/Sun,,2011-07-26,35 ,44 ,9,,,-9
YouGov,,2011-07-27,36,43,8,,,
YouGov/Sun,,2011-07-27,36 ,43 ,8,,,-7
YouGov,,2011-07-28,36,42,11,,,
YouGov/Sun,,2011-07-28,36 ,42 ,11,,,-6
YouGov/Sunday Times,,2011-07-29,35 ,44 ,9,,,-9
TNS-BMRB,,2011-07-31,35,41,10,,,
YouGov,,2011-07-31,36,44,10,,,
YouGov/Sun,,2011-08-01,35 ,42 ,11,,,-7
YouGov,,2011-08-01,35,42,11,,,
YouGov/Sun,,2011-08-02,36 ,45 ,8,,,-9
YouGov,,2011-08-02,36,45,8,,,
YouGov/Sun,,2011-08-03,35 ,43 ,10,,,-8
YouGov,,2011-08-03,35,43,10,,,
YouGov/Sun,,2011-08-04,36 ,42 ,10,,,-6
YouGov,,2011-08-04,36,42,10,,,
YouGov/Sunday Times,,2011-08-05,35 ,44 ,9,,,-9
YouGov,,2011-08-07,36,44,8,,,
YouGov/Sun,,2011-08-08,36 ,44 ,9,,,-8
YouGov,,2011-08-08,36,44,9,,,
YouGov,,2011-08-09,36,43,9,,,
YouGov/Sun,,2011-08-09,36 ,43 ,9,,,-7
YouGov,,2011-08-10,36,43,9,,,
YouGov/Sun,,2011-08-10,36 ,43 ,9,,,-7
Opinium/,,2011-08-11,34 ,38 ,9,,,-4
YouGov/Sun,,2011-08-11,35 ,43 ,9,,,-8
YouGov,,2011-08-11,35,43,9,,,
YouGov/Sunday Times,,2011-08-12,36 ,43 ,9,,,-7
YouGov,,2011-08-13,36,43,9,,,
YouGov/Sun,,2011-08-15,35 ,43 ,9,,,-8
YouGov,,2011-08-15,35,43,9,,,
YouGov,,2011-08-16,36,42,10,,,
YouGov/Sun,,2011-08-16,36 ,42 ,10,,,-6
YouGov,,2011-08-17,35,44,9,,,
YouGov/Sun,,2011-08-17,35 ,44 ,9,,,-9
YouGov/Sun,,2011-08-18,36 ,44 ,9,,,-8
ComRes/Independent on Sunday (O),,2011-08-18,38 ,40 ,11,,,-2
YouGov,,2011-08-18,36,44,9,,,
Opinium/,,2011-08-19,37 ,38 ,9,,,-1
YouGov/Sunday Times,,2011-08-19,36 ,40 ,11,,,-4
ICM/Guardian,,2011-08-21,37 ,36 ,17,,,1
YouGov,,2011-08-21,36,40,11,,,
YouGov,,2011-08-22,35,44,9,,,
Ipsos-Mori,,2011-08-22,34,40,15,,,
Ipsos-MORI/Reuters,,2011-08-22,34 ,40 ,15,,,-6
YouGov/Sun,,2011-08-22,35 ,44 ,9,,,-9
YouGov/Sun,,2011-08-23,37 ,44 ,9,,,-7
YouGov,,2011-08-23,37,44,9,,,
ICM,,2011-08-23,37,36,17,,,
YouGov,,2011-08-24,38,43,9,,,
YouGov/Sun,,2011-08-24,36 ,43 ,9,,,-7
YouGov,,2011-08-25,37,42,9,,,
YouGov/Sun,,2011-08-25,37 ,42 ,9,,,-5
YouGov/Sunday Times,,2011-08-26,38 ,41 ,9,,,-3
YouGov,,2011-08-28,38,41,9,,,
TNS-BMRB,,2011-08-30,36,38,12,,,
YouGov/Sun,,2011-08-30,39 ,40 ,10,,,-1
YouGov,,2011-08-30,39,40,10,,,
YouGov/Sun,,2011-08-31,37 ,42 ,10,,,-5
YouGov,,2011-08-31,37,42,10,,,
